assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,NMS@40,Recall@40
MAVEDB_urn_mavedb_00001249-a-1,2585,2585,0,0,0,2585,40,40,0,0,0,0,0.6704710166607948,0.0
MAVEDB_urn_mavedb_00001249-a-2,2593,2593,0,0,0,2593,40,40,0,0,0,0,0.7698290912107202,0.0
MAVEDB_urn_mavedb_00001249-a-3,2591,2591,0,0,0,2591,40,40,0,0,0,0,0.40225453126870436,0.0
MAVEDB_urn_mavedb_00001252-a-1,8065,8065,0,0,0,8065,40,40,0,0,0,0,0.9558517883916953,0.025
MAVEDB_urn_mavedb_00001252-a-2,8080,8080,0,0,0,8080,40,40,0,0,0,0,0.8132234005850205,0.0
MAVEDB_urn_mavedb_00001266-b-1,9676,9676,0,0,0,9676,40,40,0,0,0,0,0.8800925456261885,0.0
MAVEDB_urn_mavedb_00001267-a-1,3482,3482,0,0,0,3482,40,40,0,0,0,0,0.9243922366351927,0.025
MAVEDB_urn_mavedb_00001267-a-2,3531,3531,0,0,0,3531,40,40,0,0,0,0,0.8779659196639036,0.0
MAVEDB_urn_mavedb_00001267-b-1,5409,5409,0,0,0,5409,40,40,0,0,0,0,0.8201104913362397,0.0
MAVEDB_urn_mavedb_00001269-a-1,15507,15507,0,0,0,15507,40,40,0,0,0,0,0.9004857072588273,0.025
MAVEDB_urn_mavedb_00001270-a-1,22536,22536,0,0,0,22536,40,40,0,0,0,0,0.5157932881577166,0.0
MAVEDB_urn_mavedb_00001270-a-10,22533,22533,0,0,0,22533,40,40,0,0,0,0,0.5516914971598751,0.0
MAVEDB_urn_mavedb_00001270-a-2,22536,22536,0,0,0,22536,40,40,0,0,0,0,0.6375836897694089,0.0
MAVEDB_urn_mavedb_00001273-a-1,3548,3548,0,0,0,3548,40,40,0,0,0,0,0.6668202242567796,0.0
