assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5827782778277829,0.9481786723605607,1.0,0.4
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6717791779177918,0.9378732977056101,0.9628760185324076,0.2
MEGASCALE_processed_dataset2_3_2RRT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6378157815781579,0.9564021909715646,1.0,0.6
MEGASCALE_processed_dataset2_3_2RU9.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.32835283528352843,0.936611409242231,0.7903997386833191,0.0
MEGASCALE_processed_dataset2_3_3DKM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.2178697869786979,0.9130032794947196,0.7075377039087059,0.0
MEGASCALE_processed_dataset2_3_3L1X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3874227422742275,0.9626756864053362,0.8682839095052893,0.0
MEGASCALE_processed_dataset2_3_3ZGK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3988358835883589,0.9526758360486464,0.8359920866419926,0.0
PROTEINGYM_A4_HUMAN_Seuma_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.43482748274827493,0.889057438189624,0.7079237494851222,0.0
PROTEINGYM_CAPSD_AAV2S_Sinai_2021,100,100,0,0,0,100,5,5,0,0,0,0,0.3045664566456646,0.8715343387342315,0.8832516810623254,0.0
PROTEINGYM_GCN4_YEAST_Staller_2018,100,100,0,0,0,100,5,5,0,0,0,0,0.37707770777077715,0.8224457944934251,0.5166193875698916,0.0
PROTEINGYM_GFP_AEQVI_Sarkisyan_2016,100,100,0,0,0,100,5,5,0,0,0,0,0.7260006000600061,0.9652392450617823,0.9655869414599323,0.4
PROTEINGYM_GRB2_HUMAN_Faure_2021,100,100,0,0,0,100,5,5,0,0,0,0,0.7063066306630664,0.9636491412924816,0.9694648227519135,0.2
PROTEINGYM_PABP_YEAST_Melamed_2013,100,100,0,0,0,100,5,5,0,0,0,0,0.6345874587458747,0.8920804792119992,0.7644714276239829,0.2
PROTEINGYM_PHOT_CHLRE_Chen_2023,100,100,0,0,0,100,5,5,0,0,0,0,0.4190699069906991,0.9279033564200068,1.0,0.2
PROTEINGYM_Q6WV12_9MAXI_Somermeyer_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.19811818925146227,0.7734484892352004,0.004128588813525521,0.0
PROTEINGYM_Q8WTC7_9CNID_Somermeyer_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.2830517018109848,0.8150660795303529,0.6157250716715721,0.0
PROTEINGYM_RASK_HUMAN_Weng_2022_abundance,100,100,0,0,0,100,5,5,0,0,0,0,0.4367356735673568,0.9143940081659103,0.8168362164244818,0.2
PROTEINGYM_RASK_HUMAN_Weng_2022_binding-DARPin_K55,100,100,0,0,0,100,5,5,0,0,0,0,0.5316771677167718,0.944307984882885,0.9483790895422544,0.2
PROTEINGYM_YAP1_HUMAN_Araya_2012,100,100,0,0,0,100,5,5,0,0,0,0,0.6577977797779779,0.8039268098185707,0.4740916308577644,0.0
TARGET_DMS_TrpB_FLIP2_active_site_by_position,100,100,0,0,0,100,5,5,0,0,0,0,0.2146774677467747,0.8995814467260761,1.0,0.4
