assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
MEGASCALE_processed_dataset2_3_2KXD.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.691929192919292,0.9446012840019002,0.5608036759188185,0.2
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6508490849084909,0.9626409385815105,0.7650873879565543,0.0
MEGASCALE_processed_dataset2_3_2LXK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.10624662466246626,0.8837478173837557,0.7561609433230627,0.2
MEGASCALE_processed_dataset2_3_2M0X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6583858385838585,0.9832728795773934,1.0,0.6
MEGASCALE_processed_dataset2_3_2M0Y.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.42957095709570964,0.9304667365293999,0.6756855962546574,0.0
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.4343954395439545,0.9023968842293706,0.6758435244274025,0.0
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.36792079207920797,0.8704301126656673,0.5852306232155621,0.0
MEGASCALE_processed_dataset2_3_2MA4.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.695913591359136,0.9399797168097198,0.8676290325385757,0.2
MEGASCALE_processed_dataset2_3_2O2W.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5681008100810082,0.9469304554390228,0.8667758291611837,0.2
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5952955295529554,0.9418011163682106,1.0,0.4
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.7092589258925894,0.9521967383120092,0.9628760185324076,0.2
MEGASCALE_processed_dataset2_3_2RRT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6496609660966097,0.9579023587020333,1.0,0.6
MEGASCALE_processed_dataset2_3_2RU9.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.3306570657065707,0.9362536746853161,0.7903997386833191,0.0
MEGASCALE_processed_dataset2_3_3DKM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.21969396939693972,0.9125161093786115,1.0,0.2
MEGASCALE_processed_dataset2_3_3L1X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.4096969696969698,0.9654494867905292,0.8682839095052893,0.0
MEGASCALE_processed_dataset2_3_3ZGK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.26807080708070813,0.9477534447432968,0.8499065129561968,0.2
PROTEINGYM_A4_HUMAN_Seuma_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.4107530753075308,0.877190174970917,0.7932166827296472,0.0
PROTEINGYM_CAPSD_AAV2S_Sinai_2021,100,100,0,0,0,100,5,5,0,0,0,0,0.26829882988298837,0.8637919665162737,0.8832516810623254,0.0
PROTEINGYM_GCN4_YEAST_Staller_2018,100,100,0,0,0,100,5,5,0,0,0,0,0.39020702070207025,0.8241304091882989,0.5166193875698916,0.0
PROTEINGYM_GFP_AEQVI_Sarkisyan_2016,100,100,0,0,0,100,5,5,0,0,0,0,0.701890189018902,0.9593667470882522,0.9655869414599323,0.4
PROTEINGYM_GRB2_HUMAN_Faure_2021,100,100,0,0,0,100,5,5,0,0,0,0,0.7297329732973299,0.9661263460672471,0.9694648227519135,0.4
PROTEINGYM_PABP_YEAST_Melamed_2013,100,100,0,0,0,100,5,5,0,0,0,0,0.6759915991599161,0.8955946798447015,0.7644714276239829,0.2
PROTEINGYM_PHOT_CHLRE_Chen_2023,100,100,0,0,0,100,5,5,0,0,0,0,0.34787878787878795,0.9100558937963914,1.0,0.2
PROTEINGYM_Q6WV12_9MAXI_Somermeyer_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.1462123757966177,0.7591052083160145,0.004128588813525521,0.0
PROTEINGYM_Q8WTC7_9CNID_Somermeyer_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.23916278624928156,0.8001383054985832,0.6157250716715721,0.0
PROTEINGYM_RASK_HUMAN_Weng_2022_abundance,100,100,0,0,0,100,5,5,0,0,0,0,0.4756315631563157,0.9128297874686959,0.6116970087461151,0.0
PROTEINGYM_RASK_HUMAN_Weng_2022_binding-DARPin_K55,100,100,0,0,0,100,5,5,0,0,0,0,0.5553195319531954,0.9461835105647651,0.9483790895422544,0.2
PROTEINGYM_YAP1_HUMAN_Araya_2012,100,100,0,0,0,100,5,5,0,0,0,0,0.6494569456945696,0.8022060857257726,0.51490286779855,0.2
TARGET_DMS_TrpB_FLIP2_active_site_by_position,100,100,0,0,0,100,5,5,0,0,0,0,0.1107710771077108,0.8946938613092861,1.0,0.4
