assay,num_ground_truth_mutants,raw_ground_truth_rows,invalid_ground_truth_score_rows,invalid_ground_truth_mutant_rows,duplicate_ground_truth_mutants_collapsed,num_predictions,num_selected,num_unique_legal_selected,num_illegal_predictions,num_duplicate_predictions,illegal_predictions_within_budget,duplicate_predictions_within_budget,spearman,NDCG,NMS@5,Recall@5
MEGASCALE_processed_dataset2_3_2KXD.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6893609360936095,0.9442737864234665,0.5857916225480969,0.4
MEGASCALE_processed_dataset2_3_2LSS.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.4706510651065107,0.9592539282404602,0.9894724658493878,0.4
MEGASCALE_processed_dataset2_3_2LXK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.09350135013501351,0.8915500860239282,0.7561609433230627,0.2
MEGASCALE_processed_dataset2_3_2M0X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.6432403240324034,0.9780563307828442,1.0,0.4
MEGASCALE_processed_dataset2_3_2M0Y.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.29357335733573364,0.9076578295748636,0.6182720915897766,0.0
MEGASCALE_processed_dataset2_3_2M2J.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.14492649264926497,0.8856252938029483,0.6922173686799692,0.0
MEGASCALE_processed_dataset2_3_2M8U.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,-0.16364836483648368,0.820137299604788,0.5852306232155621,0.0
MEGASCALE_processed_dataset2_3_2MA4.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.15413141314131415,0.8812754619037628,0.6129658762596113,0.0
MEGASCALE_processed_dataset2_3_2O2W.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.10673867386738675,0.9104455732311214,0.8667758291611837,0.2
MEGASCALE_processed_dataset2_3_2PFU.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.36984098409840993,0.9507321529558296,0.9742920647306432,0.4
MEGASCALE_processed_dataset2_3_2ROT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.4452925292529254,0.9403441078759053,0.9628760185324076,0.2
MEGASCALE_processed_dataset2_3_2RRT.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.5556195619561957,0.9287595132184798,1.0,0.4
MEGASCALE_processed_dataset2_3_2RU9.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.0428922892289229,0.9167188566755076,0.783126435856699,0.0
MEGASCALE_processed_dataset2_3_3DKM.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.1925592559255926,0.9252076417565156,0.7075377039087059,0.0
MEGASCALE_processed_dataset2_3_3L1X.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.11786378637863788,0.9498136788599563,0.8639748850303561,0.0
MEGASCALE_processed_dataset2_3_3ZGK.pdb_protein_stability,100,100,0,0,0,100,5,5,0,0,0,0,0.029522952295229526,0.8957193346833522,0.870411161431506,0.2
PROTEINGYM_A4_HUMAN_Seuma_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.40151215121512157,0.9020951627413191,0.7254337799495253,0.0
PROTEINGYM_CAPSD_AAV2S_Sinai_2021,100,100,0,0,0,100,5,5,0,0,0,0,0.19002700270027006,0.8615270410172998,0.7885567330285379,0.0
PROTEINGYM_GCN4_YEAST_Staller_2018,100,100,0,0,0,100,5,5,0,0,0,0,-0.04554455445544555,0.7178486188347727,0.20387967923103925,0.0
PROTEINGYM_GFP_AEQVI_Sarkisyan_2016,100,100,0,0,0,100,5,5,0,0,0,0,0.3408580858085809,0.8925797078809563,0.9580125484380103,0.2
PROTEINGYM_GRB2_HUMAN_Faure_2021,100,100,0,0,0,100,5,5,0,0,0,0,0.47438343834383445,0.9102873945222503,0.9694648227519135,0.2
PROTEINGYM_PABP_YEAST_Melamed_2013,100,100,0,0,0,100,5,5,0,0,0,0,0.6546054605460547,0.9199950706945474,0.8386505586917563,0.2
PROTEINGYM_PHOT_CHLRE_Chen_2023,100,100,0,0,0,100,5,5,0,0,0,0,0.5347374737473748,0.9373768082620055,1.0,0.2
PROTEINGYM_Q6WV12_9MAXI_Somermeyer_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.053694013733404544,0.8231296762058758,0.5995716588160444,0.0
PROTEINGYM_Q8WTC7_9CNID_Somermeyer_2022,100,100,0,0,0,100,5,5,0,0,0,0,0.07494839422555015,0.8506277982709085,1.0,0.2
PROTEINGYM_RASK_HUMAN_Weng_2022_abundance,100,100,0,0,0,100,5,5,0,0,0,0,0.46099009900990107,0.8993190039333618,0.7813674894614197,0.2
PROTEINGYM_RASK_HUMAN_Weng_2022_binding-DARPin_K55,100,100,0,0,0,100,5,5,0,0,0,0,0.35270327032703275,0.9479144544884037,1.0,0.4
PROTEINGYM_YAP1_HUMAN_Araya_2012,100,100,0,0,0,100,5,5,0,0,0,0,0.47531953195319543,0.7292990260630726,0.30156576252512746,0.0
TARGET_DMS_TrpB_FLIP2_active_site_by_position,100,100,0,0,0,100,5,5,0,0,0,0,-0.003468346834683469,0.8812145777396001,1.0,0.4
